GRIDCODE,dev_70_count,dev_80_count,dev_90_count,cpc_payout_70_count,cpc_payout_80_count,cpc_payout_90_count,chirps_payout_70_count,chirps_payout_80_count,chirps_payout_90_count
7030,2624,2258,1959,0,0,0,0,0,0
7031,2732,2388,2010,0,0,0,0,0,0
7032,1969,1727,1481,0,0,0,0,0,0
8223,2508,2193,1883,0,0,0,0,0,0
8224,670,699,640,419,411,277,251,288,363
8225,589,741,659,420,495,386,169,246,273
8226,704,585,594,636,478,438,68,107,156
8227,719,643,572,578,545,384,141,98,188
8228,579,607,625,490,444,404,89,163,221
8229,522,584,579,409,457,400,113,127,179
8230,536,436,482,364,316,359,172,120,123
8231,436,427,381,286,288,251,150,139,130
9421,736,959,892,590,727,748,146,232,144
9422,1107,1088,1001,925,915,834,182,173,167
9423,946,982,852,813,792,666,133,190,186
9424,1043,934,773,766,694,570,277,240,203
9425,680,880,709,463,569,478,217,311,231
9426,575,627,701,356,323,349,219,304,352
9427,426,367,403,279,225,113,147,142,290
9428,383,420,374,310,280,240,73,140,134
9429,289,297,374,231,265,261,58,32,113
9430,488,426,473,350,347,353,138,79,120
9431,480,495,407,319,350,251,161,145,156
9432,573,568,569,432,368,375,141,200,194
9433,129,137,131,97,93,94,32,44,37
10607,2692,2208,1807,0,0,0,0,0,0
10608,2681,2194,1830,0,0,0,0,0,0
10618,2190,1897,1610,0,0,0,0,0,0
10619,744,590,651,359,283,288,385,307,363
10620,680,873,866,296,360,378,384,513,488
10621,821,897,840,400,459,421,421,438,419
10622,736,674,758,408,334,351,328,340,407
10623,450,576,598,260,296,366,190,280,232
10624,395,511,540,246,276,284,149,235,256
10625,390,525,469,187,195,180,203,330,289
10626,318,398,527,128,181,182,190,217,345
10627,288,378,482,162,184,184,126,194,298
10628,339,450,494,162,146,239,177,304,255
10629,499,556,570,212,261,212,287,295,358
10630,353,567,478,214,281,253,139,286,225
10631,522,434,460,399,261,233,123,173,227
10632,368,431,502,219,151,186,149,280,316
10633,417,486,417,177,172,123,240,314,294
10634,601,447,470,297,189,213,304,258,257
