year,state_code,state_name,county_code,county_name,intervals,coverage_level,area,CPC_total_premium,CPC_premium_subsidy,CPC_actual_premium,CPC_indemnity,CPC_total_liability,CHIRPS_total_premium,CHIRPS_premium_subsidy,CHIRPS_actual_premium,CHIRPS_indemnity,CHIRPS_total_liability,relative_difference
2021,48,Texas,1,Anderson,"625,629",0.75,3562,9888.37,5834.14,4054.23,104.54,92433.9,9889.55,5834.84,4054.72,0.15,92446.25,1.9942687935810486
2021,48,Texas,1,Anderson,"625,629",0.85,18440,77073.74,45473.51,31600.23,5853.49,542320.4,77083.24,45479.11,31604.13,3236.31,542392.86,0.5758498536821492
2021,48,Texas,1,Anderson,"625,629",0.9,6820,34154.97,20151.43,14003.54,4696.06,212374.8,34159.64,20154.18,14005.45,4360.59,212403.18,0.07408258020349692
2021,48,Texas,3,Andrews,"625,627",0.75,299731,1142239.12,673921.08,468318.04,63404.17,3641731.65,1141985.06,673771.18,468213.87,3025.1,3641132.06,1.8178453564219506
2021,48,Texas,3,Andrews,"625,627",0.8,4141,17773.71,10486.49,7287.22,1502.68,53667.36,17769.83,10484.2,7285.63,375.95,53658.52,1.1995230566955706
2021,48,Texas,3,Andrews,"625,627",0.85,45473,217936.25,128582.39,89353.86,23400.07,626163.21,217889.48,128554.79,89334.69,15609.18,626060.12,0.39943808199337333
2021,48,Texas,3,Andrews,"625,627",0.9,28808,152886.93,90203.29,62683.64,20156.66,420020.64,152854.52,90184.17,62670.35,20675.3,419951.49,-0.025403629901675034
2021,48,Texas,5,Angelina,,,,,,,,,,,,,,
2021,48,Texas,7,Aransas,"627,629",0.75,21512,54597.35,32212.44,22384.91,41133.83,250077.0,54102.25,31920.33,22181.92,35219.35,247858.0,0.1549242611768103
2021,48,Texas,7,Aransas,"627,629",0.85,1603,5440.03,3209.62,2230.41,4307.48,21119.52,5391.06,3180.72,2210.33,3855.73,20932.13,0.1106794998536114
2021,48,Texas,9,Archer,"635,629",0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,48,Texas,9,Archer,"635,629",0.75,4131,15447.42,9113.98,6333.44,23650.71,85511.7,15452.45,9116.95,6335.51,22426.8,85545.51,0.05312396438088777
2021,48,Texas,9,Archer,"635,629",0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,48,Texas,9,Archer,"635,629",0.85,11681,59089.61,34862.87,24226.74,82995.58,274036.26,59110.45,34875.16,24235.28,79541.17,274144.59,0.042506202443447445
2021,48,Texas,9,Archer,"635,629",0.9,78150,452865.99,267190.93,185675.05,609193.12,1941246.0,453027.2,267286.05,185741.15,586103.26,1942013.43,0.038634535143493014
2021,48,Texas,11,Armstrong,"631,626",0.75,149368,388137.34,229001.03,159136.31,116.99,2285330.4,388098.31,228978.0,159120.31,0.0,2285066.77,2.0
2021,48,Texas,11,Armstrong,"631,626",0.8,3098,9319.7,5498.62,3821.08,5.35,50559.36,9318.76,5498.07,3820.69,0.0,50553.53,2.0
2021,48,Texas,11,Armstrong,"631,626",0.85,63623,219826.7,129697.75,90128.95,3352.63,1103222.82,219804.26,129684.51,90119.75,184.06,1103095.55,1.791827952124727
2021,48,Texas,11,Armstrong,"631,626",0.9,62669,247327.75,145923.38,101404.38,6525.75,1150602.84,247302.1,145908.24,101393.86,3408.76,1150470.11,0.6275075469248105
2021,48,Texas,13,Atascosa,"627,625",0.75,10114,29685.23,17514.29,12170.94,46918.53,138056.1,29691.07,17517.73,12173.34,51662.66,138084.35,-0.09624817878542559
2021,48,Texas,13,Atascosa,"627,625",0.8,988,3357.49,1980.92,1376.57,5391.2,14385.28,3358.14,1981.3,1376.84,5946.0,14388.22,-0.09787249056204356
2021,48,Texas,13,Atascosa,"627,625",0.85,83208,324677.0,191559.43,133117.57,526140.2,1287227.76,324739.58,191596.35,133143.23,576498.9,1287491.16,-0.09134212635847952
2021,48,Texas,13,Atascosa,"627,625",0.9,37942,168675.91,99518.79,69157.12,273537.2,621489.96,168708.39,99537.95,69170.44,297411.91,621617.13,-0.0836316567688492
2021,48,Texas,15,Austin,"628,632",0.75,775,2306.56,1360.87,945.69,874.83,15810.0,2307.69,1361.54,946.15,0.0,15817.58,2.0
2021,48,Texas,15,Austin,"628,632",0.85,29181,120866.69,71311.35,49555.34,64340.64,674664.72,120923.73,71345.0,49578.73,9574.89,674988.32,1.4818469136323584
2021,48,Texas,15,Austin,"628,632",0.9,6909,33479.1,19752.67,13726.43,19116.32,169132.32,33495.07,19762.09,13732.98,5700.7,169213.44,1.0811628471105716
2021,48,Texas,17,Bailey,"625,627",0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,48,Texas,17,Bailey,"625,627",0.75,5564,19109.81,11274.79,7835.02,28832.71,67602.6,19106.43,11272.79,7833.64,15478.5,67587.47,0.6027463479331754
2021,48,Texas,17,Bailey,"625,627",0.8,3635,14091.3,8313.86,5777.43,20574.4,47109.6,14088.72,8312.34,5776.38,11823.88,47099.06,0.5401842320024398
2021,48,Texas,17,Bailey,"625,627",0.85,36197,157038.35,92652.63,64385.72,222182.83,498432.69,157009.01,92635.32,64373.69,137034.66,498321.15,0.4740758586114501
